1. Selon vous, quels sont les principaux enjeux du logement dans la MEL ? (3 réponses maximum);2. Selon vous, quels sont les principaux freins pour trouver un logement à louer dans la MEL ? (2 réponses maximum);3. Selon vous, quels sont les principaux freins pour acheter un logement dans la MEL ? (2 réponses maximum);4. Selon vous, quels sont les principaux freins pour réaliser des travaux de rénovation ? (2 réponses maximum);5. Selon vous, pourquoi souhaite-t-on habiter dans la MEL ?;6. Identifiez-vous la MEL comme un acteur du logement ?;7. Connaissez-vous la Maison de l'Habitat durable ?;8. Avez-vous déjà visité la Maison de l'Habitat durable ?;9. Connaissez-vous les aides de l'Agence Nationale de l'Habitat (Anah) et de la MEL pour la rénovation des logements privés ?;10. Si oui, par quel biais avez-vous été informé de l'existence de ces aides ?;11. Les avez-vous mobilisées dans le cadre d'un projet de rénovation ?;12. Auprès de qui vous adresseriez-vous pour faire une demande de logement social dans la métropole ?;13. Avez-vous déjà fait une demande de logement social sur le territoire métropolitain ?;14. Qu'attendriez-vous de la MEL pour vous aider à trouver un logement ? (2 réponses maximum);15. Qu'attendriez-vous de la MEL pour faciliter l'accession à la propriété ?;16. Qu'attendriez-vous de la MEL pour vous aider dans vos travaux de rénovation ? (3 réponses maximum);17. Quel est votre âge ?;18. Quelle est votre situation professionnelle ?;19. Dans quelle commune, habitez-vous ?;20. Dans quel type de logement habitez-vous actuellement ?;21. Quelle est votre situation au regard de ce logement ?;22. Qui vit avec vous dans votre logement ?
construire plus de logements,rénover l'habitat dégradé,améliorer l'habitat existant sur le plan énergétique;des montants de loyers trop élevés dans les quartiers souhaités,des garanties financières trop sélectives;des prix trop élevés dans les quartiers souhaités;des difficultés de financement;Dynamisme et emploi;Oui;Oui;Non;Oui;internet;Oui;un bailleur social,votre mairie;Non;un lieu d'information pour vous aider dans vos démarches (aides,financement,etc.),un recensement des logements sociaux accessibles pour les personnes âgées ou en situation de handicap;un accompagnement pour étudier les financements possibles;un forum d'échanges entre habitants;50-64 ans;emploi salarié;Emmerin;individuel;propriétaire occupant;je vis en couple sans enfant
construire plus de logements,mieux réguler les prix et loyers du marché,rénover l'habitat dégradé,améliorer l'attribution des logements sociaux;des montants de loyers trop élevés dans les quartiers souhaités,des logements de trop faible qualité;des prix trop élevés dans les quartiers souhaités,des biens vétustes nécessitant trop de travaux;ne se prononce pas;Proche de tout;Oui;Non;Non;Non;;Non;la MEL;Non;un lieu d'information pour vous aider dans vos démarches (aides,financement,etc.);un accompagnement pour étudier les financements possibles;un accompagnement pas à pas pour votre projet (administratif,technique,financier,etc.),un service d'aide pour trouver des prêts travaux adaptés (courtage bancaire);18-24 ans;étudiant;Lomme;individuel;propriétaire occupant;je vis seul sans enfant
construire plus de logements,améliorer l'attribution des logements sociaux;des garanties financières trop sélectives;des difficultés pour obtenir un prêt;des difficultés de financement;Transport en commun;Oui;Oui;Non;Non;;Non;un bailleur social;Non;un lieu d'information pour vous aider dans vos démarches (aides,financement,etc.);un accompagnement pour étudier les financements possibles;un service de mise en relation avec les entreprises qualifiées,un préfinancement des travaux;25-35 ans;emploi salarié;Lille;individuel;locataire d'un logement privé;je vis seul sans enfant
améliorer la mixité sociale,faciliter l'accès des jeunes au logement;des montants de loyers trop élevés dans les quartiers souhaités;des prix trop élevés dans les quartiers souhaités;la crainte que les travaux se passent mal;;Oui;Non;Non;Non;;Non;votre mairie;Oui;un recensement des logements sociaux accessibles pour les personnes âgées ou en situation de handicap;une meilleure information sur les projets d'accession à prix abordable;un service de mise en relation avec les entreprises qualifiées;25-35 ans;sans emploi;Lille;collectif;locataire d'un logement social;je vis seul sans enfant
rénover l'habitat dégradé,faciliter l'accès des jeunes au logement,améliorer l'attribution des logements sociaux;des montants de loyers trop élevés dans les quartiers souhaités,des garanties financières trop sélectives;des prix trop élevés dans les quartiers souhaités,des difficultés pour obtenir un prêt;des difficultés de financement,trouver une entreprise qualifiée;Pour les commodités;Non;Non;;Non;;;un bailleur social;Non;un meilleur conseil pour obtenir un logement social;un accompagnement pour étudier les financements possibles;un service d'aide pour trouver des prêts travaux adaptés (courtage bancaire);35-49 ans;emploi salarié;Templeuve;individuel;propriétaire occupant;je vis en couple avec enfant(s)
mieux réguler les prix et loyers du marché;des montants de loyers trop élevés dans les quartiers souhaités;des prix trop élevés dans les quartiers souhaités;la crainte que les travaux se passent mal;Famille proximité magasins et transports;Non;Non;;Non;;;votre mairie;Oui;un accompagnement pour les groupes d'habitants ayant un projet logement en commun (habitat participatif);un accompagnement pour étudier les financements possibles;un accompagnement pas à pas pour votre projet (administratif,technique,financier,etc.);25-35 ans;emploi salarié;Tourcoing;collectif;locataire d'un logement privé;autre
construire plus de logements;des montants de loyers trop élevés dans les quartiers souhaités;peu de biens adaptés à mes besoins (nombre de pièces,accessibilité du logement au handicap,etc.);trouver une entreprise qualifiée;Travail;Oui;Non;;Non;;;un bailleur social;Oui;un lieu d'information pour vous aider dans vos démarches (aides,financement,etc.);une meilleure information sur les projets d'accession à prix abordable;un préfinancement des travaux;35-49 ans;emploi salarié;Lille;individuel;locataire d'un logement social;je vis seul sans enfant
résorber les bidonvilles;des garanties financières trop sélectives;des prix trop élevés dans les quartiers souhaités;ne se prononce pas;Pas de problème;Oui;Non;Non;Non;;;votre mairie;Oui;un meilleur conseil pour obtenir un logement social;un accompagnement pour étudier les financements possibles;un forum d'échanges entre habitants;35-49 ans;emploi salarié;Lille;collectif;locataire d'un logement privé;je vis en couple avec enfant(s)
rénover l'habitat dégradé,améliorer l'habitat existant sur le plan énergétique,adapter les logements au vieillissement;des montants de loyers trop élevés dans les quartiers souhaités,peu de biens adaptés à mes besoins (nombre de pièces,accessibilité du logement au handicap,etc.);des difficultés pour obtenir un prêt,peu de biens adaptés à mes besoins (nombre de pièces,accessibilité du logement au handicap,etc.);trouver de l'aide,un conseil adapté;Commerces;Oui;Non;Non;Oui;bouche à oreille;Non;un bailleur social;Oui;un lieu d'information pour vous aider dans vos démarches (aides,financement,etc.),un recensement des logements sociaux accessibles pour les personnes âgées ou en situation de handicap;un accompagnement pour étudier les financements possibles;des ateliers de formation pour acquérir des savoirs faire de base pour les travaux,un service d'aide pour trouver des prêts travaux adaptés (courtage bancaire),un préfinancement des travaux;50-64 ans;emploi salarié;Tourcoing;collectif;locataire d'un logement social;je vis seul sans enfant
rénover l'habitat dégradé,améliorer l'habitat existant sur le plan énergétique,résorber les bidonvilles;des montants de loyers trop élevés dans les quartiers souhaités,des logements de trop faible qualité;des prix trop élevés dans les quartiers souhaités,des biens vétustes nécessitant trop de travaux;trouver de l'aide,un conseil adapté,un dispositif d'aides trop complexe;"service de proximité
loisirs
culture
infrastructure";Oui;Oui;Oui;Oui;autre;Oui;votre mairie;Oui;un lieu d'information pour vous aider dans vos démarches (aides,financement,etc.),un recensement des logements sociaux accessibles pour les personnes âgées ou en situation de handicap;un accompagnement pour étudier les financements possibles;un service de mise en relation avec les entreprises qualifiées,un accompagnement pas à pas pour votre projet (administratif,technique,financier,etc.),un préfinancement des travaux;35-49 ans;emploi salarié;Faches Thumesnil;individuel;propriétaire occupant;je vis seul avec enfant(s)
améliorer la mixité sociale,rénover l'habitat dégradé,améliorer l'habitat existant sur le plan énergétique,adapter les logements au vieillissement,résorber les bidonvilles;des montants de loyers trop élevés dans les quartiers souhaités,des logements de trop faible qualité;des prix trop élevés dans les quartiers souhaités,des biens vétustes nécessitant trop de travaux;trouver de l'aide,un conseil adapté;le bassin d'emploi;Non;Oui;Non;Non;;Non;un bailleur social;Non;un lieu d'information pour vous aider dans vos démarches (aides,financement,etc.),un accompagnement pour les groupes d'habitants ayant un projet logement en commun (habitat participatif);une meilleure information sur les projets d'accession à prix abordable;un service de mise en relation avec les entreprises qualifiées,un forum d'échanges entre habitants;35-49 ans;emploi salarié;Lille;collectif;propriétaire occupant;je vis seul sans enfant
améliorer la mixité sociale,améliorer l'habitat existant sur le plan énergétique,améliorer l'attribution des logements sociaux;des montants de loyers trop élevés dans les quartiers souhaités;des prix trop élevés dans les quartiers souhaités;des difficultés de financement;Le coût de vie moins importante qu’ailleurs;Oui;Non;Non;Non;;Non;un bailleur social;Oui;un lieu d'information pour vous aider dans vos démarches (aides,financement,etc.),un accompagnement pour les groupes d'habitants ayant un projet logement en commun (habitat participatif);un accompagnement pour étudier les financements possibles;un accompagnement pas à pas pour votre projet (administratif,technique,financier,etc.),un service d'aide pour trouver des prêts travaux adaptés (courtage bancaire),un préfinancement des travaux;25-35 ans;emploi salarié;Roubaix;collectif;locataire d'un logement social;je vis seul sans enfant
mieux réguler les prix et loyers du marché,rénover l'habitat dégradé,mieux organiser l'accueil des étudiants dans la MEL;des logements de trop faible qualité,peu de biens adaptés à mes besoins (nombre de pièces,accessibilité du logement au handicap,etc.);des biens vétustes nécessitant trop de travaux,des difficultés pour obtenir un prêt;trouver une entreprise qualifiée;Marché de l'emploi;Oui;Non;Non;Non;;Non;votre mairie;Non;un meilleur conseil pour obtenir un logement social;un accompagnement pour étudier les financements possibles;un service de mise en relation avec les entreprises qualifiées,un forum d'échanges entre habitants,un service d'aide pour trouver des prêts travaux adaptés (courtage bancaire);25-35 ans;emploi salarié;Tourcoing;individuel;locataire d'un logement privé;je vis seul sans enfant
adapter les logements au vieillissement,faciliter l'accès des jeunes au logement,améliorer l'attribution des logements sociaux;autre;ne se prononce pas;des difficultés de financement,trouver de l'aide,un conseil adapté;Regroupement familial;Oui;Oui;Non;Oui;autre;Non;un bailleur social;Oui;un meilleur conseil pour obtenir un logement social;un accompagnement pour étudier les financements possibles;un recueil numérique de bonnes pratiques,témoignages d'habitants,un accompagnement pas à pas pour votre projet (administratif,technique,financier,etc.),un préfinancement des travaux;50-64 ans;sans emploi;Roubaix;individuel;locataire d'un logement privé;je vis seul sans enfant
mieux réguler les prix et loyers du marché,rénover l'habitat dégradé,mieux organiser l'accueil des étudiants dans la MEL;des montants de loyers trop élevés dans les quartiers souhaités;des biens vétustes nécessitant trop de travaux,des difficultés pour obtenir un prêt;des difficultés de financement;Facilite des magasins avec du monde;Oui;Non;Non;Non;;;"votre mairie,le groupe ""Action logement""";Non;un lieu d'information pour vous aider dans vos démarches (aides,financement,etc.),autre;un accompagnement pour étudier les financements possibles;des tutoriels vidéos pour les travaux,un préfinancement des travaux;50-64 ans;emploi salarié;Tourcoing;individuel;propriétaire occupant;je vis seul avec enfant(s)
